"Points:0","Points:1","Points:2"
1,-0.00126,0
0.9901,-0.0026412,0
0.97914,-0.00415,0
0.96704,-0.0057923,0
0.95372,-0.0075731,0
0.9391,-0.0094959,0
0.92309,-0.011562,0
0.90564,-0.013773,0
0.88667,-0.016124,0
0.86614,-0.018611,0
0.84403,-0.021225,0
0.82031,-0.023954,0
0.795,-0.026783,0
0.76815,-0.029692,0
0.73982,-0.032656,0
0.7101,-0.035649,0
0.67914,-0.038638,0
0.64709,-0.041587,0
0.61413,-0.044456,0
0.58048,-0.047205,0
0.54638,-0.049788,0
0.51206,-0.052163,0
0.47778,-0.054287,0
0.44378,-0.056121,0
0.41031,-0.05763,0
0.3776,-0.058786,0
0.34585,-0.059568,0
0.31525,-0.059965,0
0.28594,-0.059973,0
0.25806,-0.059598,0
0.2317,-0.058852,0
0.20692,-0.057757,0
0.18376,-0.056337,0
0.16222,-0.05462,0
0.1423,-0.052636,0
0.12396,-0.050417,0
0.10716,-0.047993,0
0.091832,-0.045389,0
0.077911,-0.042631,0
0.065325,-0.039738,0
0.054,-0.036725,0
0.043862,-0.033601,0
0.034843,-0.030369,0
0.026882,-0.027026,0
0.019931,-0.02356,0
0.01396,-0.019952,0
0.0089723,-0.016178,0
0.0050086,-0.012223,0
0.0021576,-0.0081093,0
0.00050357,-0.0039575,0
0,0,0
0.00050357,0.0039575,0
0.0021576,0.0081093,0
0.0050086,0.012223,0
0.0089723,0.016178,0
0.01396,0.019952,0
0.019931,0.02356,0
0.026882,0.027026,0
0.034843,0.030369,0
0.043862,0.033601,0
0.054,0.036725,0
0.065325,0.039738,0
0.077911,0.042631,0
0.091832,0.045389,0
0.10716,0.047993,0
0.12396,0.050417,0
0.1423,0.052636,0
0.16222,0.05462,0
0.18376,0.056337,0
0.20692,0.057757,0
0.2317,0.058852,0
0.25806,0.059598,0
0.28594,0.059973,0
0.31525,0.059965,0
0.34585,0.059568,0
0.3776,0.058786,0
0.41031,0.05763,0
0.44378,0.056121,0
0.47778,0.054287,0
0.51206,0.052163,0
0.54638,0.049788,0
0.58048,0.047205,0
0.61413,0.044456,0
0.64709,0.041587,0
0.67914,0.038638,0
0.7101,0.035649,0
0.73982,0.032656,0
0.76815,0.029692,0
0.795,0.026783,0
0.82031,0.023954,0
0.84403,0.021225,0
0.86614,0.018611,0
0.88667,0.016124,0
0.90564,0.013773,0
0.92309,0.011562,0
0.9391,0.0094959,0
0.95372,0.0075731,0
0.96704,0.0057923,0
0.97914,0.00415,0
0.9901,0.0026412,0
1,0.00126,0
1,0,0
1,-0.00126,0
1.0012,-0.0025004,0
0.99045,-0.0045583,0
0.9794,-0.006181,0
0.96728,-0.0078252,0
0.95396,-0.0095955,0
0.93933,-0.011508,0
0.92332,-0.013565,0
0.90586,-0.015767,0
0.88689,-0.018111,0
0.86636,-0.020592,0
0.84424,-0.0232,0
0.82051,-0.025925,0
0.7952,-0.02875,0
0.76834,-0.031655,0
0.74,-0.034617,0
0.71028,-0.037608,0
0.67931,-0.040595,0
0.64725,-0.043542,0
0.61429,-0.046411,0
0.58063,-0.049159,0
0.54652,-0.051743,0
0.51219,-0.054118,0
0.47789,-0.056243,0
0.44388,-0.058078,0
0.4104,-0.059588,0
0.37767,-0.060745,0
0.3459,-0.06153,0
0.31527,-0.061929,0
0.28594,-0.061939,0
0.25804,-0.061567,0
0.23165,-0.060825,0
0.20684,-0.059732,0
0.18364,-0.058315,0
0.16207,-0.0566,0
0.14211,-0.05462,0
0.12373,-0.052403,0
0.10688,-0.049979,0
0.091496,-0.047376,0
0.077517,-0.044617,0
0.064866,-0.04172,0
0.053467,-0.038699,0
0.043245,-0.035561,0
0.034127,-0.032306,0
0.026048,-0.028924,0
0.018957,-0.025394,0
0.01282,-0.021683,0
0.0076365,-0.017744,0
0.0034589,-0.013537,0
0.00040242,-0.0090685,0
-0.0014017,-0.0044716,0
-0.0019617,-1.7897e-13,0
-0.0014017,0.0044716,0
0.00040242,0.0090685,0
0.0034589,0.013537,0
0.0076365,0.017744,0
0.01282,0.021683,0
0.018957,0.025394,0
0.026048,0.028924,0
0.034127,0.032306,0
0.043245,0.035561,0
0.053467,0.038699,0
0.064866,0.04172,0
0.077517,0.044617,0
0.091496,0.047376,0
0.10688,0.049979,0
0.12373,0.052403,0
0.14211,0.05462,0
0.16207,0.0566,0
0.18364,0.058315,0
0.20684,0.059732,0
0.23165,0.060825,0
0.25804,0.061567,0
0.28594,0.061939,0
0.31527,0.061929,0
0.3459,0.06153,0
0.37767,0.060745,0
0.4104,0.059588,0
0.44388,0.058078,0
0.47789,0.056243,0
0.51219,0.054118,0
0.54652,0.051743,0
0.58063,0.049159,0
0.61429,0.046411,0
0.64725,0.043542,0
0.67931,0.040595,0
0.71028,0.037608,0
0.74,0.034617,0
0.76834,0.031655,0
0.7952,0.02875,0
0.82051,0.025925,0
0.84424,0.0232,0
0.86636,0.020592,0
0.88689,0.018111,0
0.90586,0.015767,0
0.92332,0.013565,0
0.93933,0.011508,0
0.95396,0.0095955,0
0.96728,0.0078252,0
0.9794,0.006181,0
0.99045,0.0045583,0
1.0012,0.0025004,0
1.0008,2.2064e-12,0
1.0012,-0.0025004,0
1.003,-0.0041003,0
0.99097,-0.0067813,0
0.97974,-0.008658,0
0.96757,-0.010329,0
0.95423,-0.01208,0
0.9396,-0.013967,0
0.92358,-0.016001,0
0.90612,-0.018183,0
0.88714,-0.020509,0
0.8666,-0.022973,0
0.84447,-0.025568,0
0.82075,-0.028281,0
0.79543,-0.031096,0
0.76856,-0.033993,0
0.74022,-0.036947,0
0.71049,-0.039932,0
0.67951,-0.042914,0
0.64745,-0.045858,0
0.61447,-0.048724,0
0.58081,-0.05147,0
0.54668,-0.054053,0
0.51234,-0.056428,0
0.47803,-0.058554,0
0.444,-0.06039,0
0.4105,-0.061903,0
0.37775,-0.063064,0
0.34596,-0.063853,0
0.31531,-0.064257,0
0.28595,-0.064274,0
0.25802,-0.063909,0
0.2316,-0.063174,0
0.20675,-0.06209,0
0.18351,-0.060682,0
0.1619,-0.058978,0
0.14189,-0.057008,0
0.12346,-0.054802,0
0.10655,-0.05239,0
0.091103,-0.049798,0
0.077053,-0.047048,0
0.064321,-0.044158,0
0.052829,-0.04114,0
0.042497,-0.037997,0
0.033251,-0.034722,0
0.02502,-0.031298,0
0.017747,-0.027688,0
0.011394,-0.023837,0
0.0059659,-0.019676,0
0.0015286,-0.015139,0
-0.0017714,-0.010227,0
-0.0037543,-0.0050872,0
-0.0043818,-1.0536e-12,0
-0.0037543,0.0050872,0
-0.0017714,0.010227,0
0.0015286,0.015139,0
0.0059659,0.019676,0
0.011394,0.023837,0
0.017747,0.027688,0
0.02502,0.031298,0
0.033251,0.034722,0
0.042497,0.037997,0
0.052829,0.04114,0
0.064321,0.044158,0
0.077053,0.047048,0
0.091103,0.049798,0
0.10655,0.05239,0
0.12346,0.054802,0
0.14189,0.057008,0
0.1619,0.058978,0
0.18351,0.060682,0
0.20675,0.06209,0
0.2316,0.063174,0
0.25802,0.063909,0
0.28595,0.064274,0
0.31531,0.064257,0
0.34596,0.063853,0
